frame_idx,t_start,vessel_present,n_vessels,mmsi,ship_name,ship_type,dist_km,bearing_deg,sog_kn,cog_deg,is_moving,move_source,ais_confidence,ais_age_sec,ais_interp,vessel_lat,vessel_lon
0,2026-06-03 11:00:00 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,454.8,extrapolated,32.84318666666667,34.97215166666667
1,2026-06-03 11:00:00.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,454.2,extrapolated,32.84318666666667,34.97215166666667
2,2026-06-03 11:00:01 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,453.8,extrapolated,32.84318666666667,34.97215166666667
3,2026-06-03 11:00:01.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,453.2,extrapolated,32.84318666666667,34.97215166666667
4,2026-06-03 11:00:02 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,452.8,extrapolated,32.84318666666667,34.97215166666667
5,2026-06-03 11:00:02.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,452.2,extrapolated,32.84318666666667,34.97215166666667
6,2026-06-03 11:00:03 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,451.8,extrapolated,32.84318666666667,34.97215166666667
7,2026-06-03 11:00:03.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,451.2,extrapolated,32.84318666666667,34.97215166666667
8,2026-06-03 11:00:04 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,450.8,extrapolated,32.84318666666667,34.97215166666667
9,2026-06-03 11:00:04.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,450.2,extrapolated,32.84318666666667,34.97215166666667
10,2026-06-03 11:00:05 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,449.8,extrapolated,32.84318666666667,34.97215166666667
11,2026-06-03 11:00:05.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,449.2,extrapolated,32.84318666666667,34.97215166666667
12,2026-06-03 11:00:06 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,448.8,extrapolated,32.84318666666667,34.97215166666667
13,2026-06-03 11:00:06.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,448.2,extrapolated,32.84318666666667,34.97215166666667
14,2026-06-03 11:00:07 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,447.8,extrapolated,32.84318666666667,34.97215166666667
15,2026-06-03 11:00:07.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,447.2,extrapolated,32.84318666666667,34.97215166666667
16,2026-06-03 11:00:08 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,446.8,extrapolated,32.84318666666667,34.97215166666667
17,2026-06-03 11:00:08.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,446.2,extrapolated,32.84318666666667,34.97215166666667
18,2026-06-03 11:00:09 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,445.8,extrapolated,32.84318666666667,34.97215166666667
19,2026-06-03 11:00:09.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,445.2,extrapolated,32.84318666666667,34.97215166666667
